,Days_Shifted,Correlation_Coefficient
1174,574,-0.31359897413457594
796,196,-0.31330361971826703
1175,575,-0.31313362913465553
1176,576,-0.31263055822091196
795,195,-0.31246827159052015
1177,577,-0.31208214325102435
794,194,-0.31166583760724326
1178,578,-0.3116338667227006
1179,579,-0.31110672329526895
793,193,-0.3109142043498292
1180,580,-0.3105283734728023
792,192,-0.31018306539761387
1181,581,-0.3099101125491534
791,191,-0.3094912792470325
1182,582,-0.3093789898305545
1183,583,-0.3088158343665118
790,190,-0.3087666650794772
1184,584,-0.30822866611151956
789,189,-0.3080593792263946
1185,585,-0.3076455931107434
788,188,-0.30735259474518295
1186,586,-0.307111722653861
787,187,-0.30660347389715886
1187,587,-0.3066011991916539
1188,588,-0.30606715958359876
786,186,-0.3057961402098227
1189,589,-0.30558051078135473
1190,590,-0.30506487700693663
785,185,-0.3049849914339575
1191,591,-0.30457104338019725
1192,592,-0.3041193340302022
784,184,-0.30410326371921836
1193,593,-0.303653679458367
783,183,-0.30325020160341054
1194,594,-0.3031227268510523
1195,595,-0.3025483438410126
782,182,-0.30244675918125535
1196,596,-0.30193409571976015
781,181,-0.30164628321782444
1197,597,-0.3013015781343137
780,180,-0.30084360195800436
1198,598,-0.30063407936901965
779,179,-0.2999713008452055
1199,599,-0.2999489382004919
778,178,-0.29915712486260265
777,177,-0.2984077707224487
776,176,-0.2976829585334888
775,175,-0.2970162403524372
774,174,-0.2963896524450352
773,173,-0.2957476518589296
772,172,-0.2950946726578586
771,171,-0.2945018767960974
770,170,-0.29380931969433777
769,169,-0.2930776595948313
768,168,-0.2923716853967693
767,167,-0.29168640293899084
766,166,-0.29099348389213575
765,165,-0.29033857003300784
764,164,-0.2896971704282649
763,163,-0.28904107731348927
762,162,-0.28835027645136135
761,161,-0.28769227169736333
760,160,-0.2870128888779802
759,159,-0.2863388602050299
758,158,-0.2857761527919516
757,157,-0.2851382146840999
756,156,-0.28452886769191066
755,155,-0.2840132591322184
754,154,-0.28336024192204134
753,153,-0.28268131379119593
752,152,-0.2819873701528091
751,151,-0.2812124728038362
750,150,-0.2804465388286233
749,149,-0.2797207359668368
748,148,-0.278975242851147
747,147,-0.2782399960181939
746,146,-0.27745528482830734
745,145,-0.27666437522455173
744,144,-0.2758351853024965
743,143,-0.2750063676175601
742,142,-0.2741571517050731
741,141,-0.2731859516760875
740,140,-0.27219106947442684
739,139,-0.2711930527615195
738,138,-0.27014417206193436
737,137,-0.2690877018246865
736,136,-0.26812430174699425
735,135,-0.26708461987384563
734,134,-0.2661792506082576
733,133,-0.2652476078462768
732,132,-0.2642421430987861
731,131,-0.2632598966038639
730,130,-0.26216481986598084
729,129,-0.2610544342083126
728,128,-0.2599441671328734
727,127,-0.25888006435177846
726,126,-0.25782828217207565
725,125,-0.25672543282746235
724,124,-0.2557248348764152
723,123,-0.2546822841410912
722,122,-0.2535982158252283
721,121,-0.2524899790458167
720,120,-0.2514142463417967
719,119,-0.2503320359867502
718,118,-0.2493067902712327
717,117,-0.24815684598279514
716,116,-0.2469279115504842
715,115,-0.2457822863406471
714,114,-0.2445572906164973
713,113,-0.2433614456601627
712,112,-0.24206757143447985
711,111,-0.2407202390312529
710,110,-0.23933239491129638
709,109,-0.23790052709334303
708,108,-0.23657841505512114
707,107,-0.23529939021525467
706,106,-0.2341151463209861
705,105,-0.2329227564545765
704,104,-0.23176738962210824
703,103,-0.2306400722082427
702,102,-0.22944788107005193
701,101,-0.22816660482763612
700,100,-0.22699870650245121
699,99,-0.2259395447910485
698,98,-0.2249157173219105
697,97,-0.22389788605287178
696,96,-0.22289871884184673
695,95,-0.22183677777815222
694,94,-0.22076917743759064
693,93,-0.21966223026586226
692,92,-0.21852931349108612
691,91,-0.21736703249554346
690,90,-0.2162686714874377
689,89,-0.215180888616407
688,88,-0.21417613823874443
687,87,-0.21309308278693054
686,86,-0.2119402159504288
685,85,-0.2108411419903297
684,84,-0.20974863748305586
683,83,-0.20868304703177518
682,82,-0.20762497521668963
681,81,-0.2065389072980819
680,80,-0.20542706877116715
679,79,-0.20431567175671692
678,78,-0.20318069009052836
677,77,-0.2021166515266385
676,76,-0.20105780132620873
675,75,-0.2000214500284968
674,74,-0.19899588752231828
673,73,-0.19794117091910682
672,72,-0.19689049366887534
671,71,-0.19586912181814053
670,70,-0.1948260685868399
669,69,-0.19380280748763168
668,68,-0.19274580949921605
667,67,-0.1916618439329271
666,66,-0.19068085455744013
665,65,-0.1897173131181486
664,64,-0.18879916662230045
663,63,-0.18783571604147156
662,62,-0.1868998682616886
661,61,-0.18596337385839531
660,60,-0.1850095624237197
659,59,-0.18408693349757144
658,58,-0.18312757608938224
657,57,-0.1821861155081941
656,56,-0.18132987030238396
655,55,-0.1804221504459299
654,54,-0.17950189876483177
653,53,-0.1785401681518426
652,52,-0.1775777059259027
651,51,-0.1766044971189657
650,50,-0.175608648413294
649,49,-0.1746076957012326
648,48,-0.17359813733466894
647,47,-0.17254787000794392
646,46,-0.1714850917376707
645,45,-0.17034829497427956
644,44,-0.16930610179136552
643,43,-0.16821324301748447
642,42,-0.16713899663819706
641,41,-0.16615155210786092
640,40,-0.1651871531053559
639,39,-0.16433464176143692
638,38,-0.1634443448540631
637,37,-0.16262178516420575
636,36,-0.16174071526165154
635,35,-0.16087414961691457
634,34,-0.15998365594982916
633,33,-0.15908072470980314
632,32,-0.15810207916991645
631,31,-0.15714478110072475
630,30,-0.15628284908525664
629,29,-0.15544857850562777
628,28,-0.1546295407357636
627,27,-0.15382067929505305
626,26,-0.15300205359482022
625,25,-0.15215828813475218
624,24,-0.1512818818236122
623,23,-0.1504442639930151
622,22,-0.14958753341650963
621,21,-0.14880817302669785
620,20,-0.14793121376955728
619,19,-0.14702144588375202
618,18,-0.14615279748340018
617,17,-0.1453350622727962
616,16,-0.14455521593602125
615,15,-0.14373292816550873
614,14,-0.1429115420928471
613,13,-0.1421340248081349
612,12,-0.1413355304789725
611,11,-0.1404598530614465
610,10,-0.13962271395730735
609,9,-0.13882593985553418
608,8,-0.13801915769581388
607,7,-0.13715208182194238
606,6,-0.13621995364213313
605,5,-0.13531222621331768
604,4,-0.13438131628417246
603,3,-0.13340871570596882
602,2,-0.1323831574649691
601,1,-0.13134949665898407
600,0,-0.13025078669144308
599,-1,-0.12934659664077772
598,-2,-0.12857393758658106
597,-3,-0.12789253100342296
596,-4,-0.12715463705673008
595,-5,-0.12634504783862596
594,-6,-0.12550500090950784
593,-7,-0.1246772562140985
592,-8,-0.1238643661098621
591,-9,-0.12308051867121744
590,-10,-0.12237061169348837
589,-11,-0.12169174005246049
588,-12,-0.1211906690867718
587,-13,-0.12064831691567915
586,-14,-0.12013505463618951
585,-15,-0.11961812504270912
584,-16,-0.11913367186382426
583,-17,-0.1186815472634891
582,-18,-0.11825240968520215
581,-19,-0.117793072898022
580,-20,-0.11724519529015594
579,-21,-0.11677585052959243
578,-22,-0.116309331331748
577,-23,-0.11592815072163823
576,-24,-0.11554022898346678
575,-25,-0.11520851134388993
574,-26,-0.11488036926164645
