,Days_Shifted,Correlation_Coefficient
281,-319,0.15380293256440078
447,-153,0.15460194287438647
643,43,0.15504203121392507
328,-272,0.15553697585163473
86,-514,0.1559944871715136
446,-154,0.1575013482229109
466,-134,0.15782175679356064
24,-576,0.1581335209124601
1102,502,0.15976993419209376
89,-511,0.15984450786918492
435,-165,0.16122810095458898
707,107,0.1620276803461328
510,-90,0.16268893580177815
445,-155,0.16269289380077107
1143,543,0.16375651253982415
175,-425,0.16405551316987435
444,-156,0.16509506685852834
737,137,0.16519371354248913
88,-512,0.16556800508019623
443,-157,0.1668596874437977
327,-273,0.167278102539523
706,106,0.16756666729785322
644,44,0.16781903615654015
811,211,0.16798418030444248
988,388,0.16815915877628995
509,-91,0.17052742510847949
436,-164,0.17114132409768168
1101,501,0.17261145860954305
467,-133,0.17286447912007585
1080,480,0.17331782028567005
113,-487,0.1733355279686902
705,105,0.17400070482479602
442,-158,0.17457046994540928
508,-92,0.17511144161450456
326,-274,0.1766593982220369
645,45,0.1776470187919712
989,389,0.17858421408148706
507,-93,0.1786492495032547
6,-594,0.1802614860502306
87,-513,0.18068340086170903
738,138,0.18086932970203246
325,-275,0.18339654459158358
704,104,0.18435621727696666
506,-94,0.18453508338728336
646,46,0.18499375938027968
437,-163,0.18535674097691077
1081,481,0.1854534059891106
31,-569,0.18629520303980104
282,-318,0.18651098617482764
810,210,0.18699415187131155
441,-159,0.18699798896947348
647,47,0.187223045503352
1079,479,0.1872427000881739
114,-486,0.18768096214151858
324,-276,0.18809331294775813
990,390,0.18828760908091632
468,-132,0.18876072022074702
1100,500,0.1892982147675683
440,-160,0.19025530999807408
323,-277,0.19216852742395144
648,48,0.19271133740167945
439,-161,0.19305118974913285
438,-162,0.1949328088846297
739,139,0.1950910288010401
505,-95,0.19596611866311295
1089,489,0.1975710841723863
174,-426,0.19869061306080985
1165,565,0.1990889580294995
469,-131,0.19913439665248572
322,-278,0.19924084214001703
1090,490,0.199561648434836
1099,499,0.20009173738732608
703,103,0.20010120410326449
809,209,0.2017479131218695
649,49,0.2021502302737004
30,-570,0.2023746267606993
991,391,0.20286663399593927
504,-96,0.20312290046283593
43,-557,0.20333036037659255
321,-279,0.2043187621364882
23,-577,0.20458026690990347
470,-130,0.2048623110383797
740,140,0.20620432932534705
471,-129,0.2073126417229021
1091,491,0.2088915667432454
1088,488,0.20970251085885971
22,-578,0.2106783970752301
320,-280,0.21076114777273386
808,208,0.2109019581698338
1098,498,0.2111771753474074
115,-485,0.2115833104232305
1082,482,0.21164207250874978
503,-97,0.21171715292835386
25,-575,0.21249124312328513
1087,487,0.2129223990112089
650,50,0.21303201495738824
992,392,0.21426622299601758
472,-128,0.21469571537725657
283,-317,0.21518848539761926
1086,486,0.21581051503771853
702,102,0.21626332349343527
741,141,0.21652015914979483
12,-588,0.2168723725080657
807,207,0.2174167491347159
1078,478,0.21769631054497476
795,195,0.21846476326148637
496,-104,0.21894365083640233
796,196,0.21910800667295485
319,-281,0.21960691117491896
806,206,0.22040162423270085
502,-98,0.22076233792801664
794,194,0.2209854206673427
993,393,0.2219276912136858
797,197,0.22295374870394888
495,-105,0.22353178744007518
473,-127,0.2239981750294924
742,142,0.22413216354055443
497,-103,0.22451167645715076
1097,497,0.22470790871471477
116,-484,0.22509948370072136
474,-126,0.22532550737751167
651,51,0.22537428514553087
498,-102,0.22679697134045307
793,193,0.22718484794316715
318,-282,0.2272091636098737
805,205,0.22860004299654269
501,-99,0.22915346153909155
499,-101,0.2296517120140265
994,394,0.2297481852144376
798,198,0.22977091406742095
743,143,0.23059677629193095
701,101,0.23124560691406262
475,-125,0.2313065323824661
1083,483,0.23131998359983483
317,-283,0.2316928211019322
780,180,0.23198377243308715
500,-100,0.23263418382292322
799,199,0.23406094459107468
1085,485,0.23466196989099575
652,52,0.23498077769360046
779,179,0.2349903367834025
