,Days_Shifted,Correlation_Coefficient
383,-217,-0.06718932304853294
356,-244,-0.06686949014888839
547,-53,-0.0666718271354651
874,274,-0.06662506846834837
706,106,-0.06652851188629631
465,-135,-0.06650778448042684
780,180,-0.06639516286068771
530,-70,-0.06617408269139965
628,28,-0.06601387338708371
792,192,-0.06581748008932355
947,347,-0.06579011629706304
464,-136,-0.06469009966641845
413,-187,-0.06462011639306325
455,-145,-0.0645031528233771
460,-140,-0.0643506884781314
300,-300,-0.06374366436682326
1032,432,-0.06358529681781074
880,280,-0.06328595437506045
615,15,-0.06251310731355225
257,-343,-0.06201859431707763
681,81,-0.06173758522039982
838,238,-0.061629480643081935
854,254,-0.061053067175661654
712,112,-0.060719341720421594
710,110,-0.06063111058848304
997,397,-0.060517847833426605
453,-147,-0.06048093260010375
564,-36,-0.06010207907700929
624,24,-0.05993916379246192
463,-137,-0.059851814305516934
456,-144,-0.059642855796257256
244,-356,-0.059640398263363904
525,-75,-0.05918980292297088
816,216,-0.05903891367721473
878,278,-0.05889613680901727
630,30,-0.05882280475872066
682,82,-0.05840759830061332
796,196,-0.057654636863061305
621,21,-0.057499216542878144
767,167,-0.056692100062721296
585,-15,-0.05663817537956136
858,258,-0.056607225515607804
707,107,-0.05651161934772206
805,205,-0.05643973587607084
626,26,-0.05641876053008149
462,-138,-0.05583007466792606
840,240,-0.05567763718675448
799,199,-0.05534574212277242
713,113,-0.0552892603219925
928,328,-0.054930068799735214
476,-124,-0.05467038531363731
625,25,-0.05462753957367997
941,341,-0.05409805176576503
815,215,-0.05379965345215436
584,-16,-0.0536718119250635
1002,402,-0.05353509357314951
419,-181,-0.052866928133727314
851,251,-0.05260752661554619
965,365,-0.05253300169676422
711,111,-0.05232068958395716
323,-277,-0.052124796948820475
904,304,-0.05171744282054136
817,217,-0.05141565379828296
913,313,-0.051156015277141545
800,200,-0.051097448862260725
714,114,-0.05082449954098924
524,-76,-0.049905340940788676
914,314,-0.049870721215161576
705,105,-0.04975561063464796
1008,408,-0.04908085747666146
406,-194,-0.047982300702167566
632,32,-0.04794897032528508
623,23,-0.04794689545232313
737,137,-0.047708801332832534
995,395,-0.04727039588460711
