,Days_Shifted,Correlation_Coefficient
646,46,0.12400920353414599
973,373,0.12465598353032341
933,333,0.12892981737024706
875,275,0.13100620006710728
237,-363,0.13476824005180305
392,-208,0.1354306290537773
832,232,0.1382794176388295
218,-382,0.13979341753740393
296,-304,0.14032841535060428
438,-162,0.1404222741663825
954,354,0.1410817634989678
828,228,0.14173421791637536
967,367,0.14246501086416344
836,236,0.1430986675962491
645,45,0.14341167943697963
827,227,0.14378746957865923
597,-3,0.14385032073270412
219,-381,0.1443146512422577
930,330,0.14535617113112848
825,225,0.1461586911072212
299,-301,0.14865797880087858
633,33,0.14893245041940112
632,32,0.14948246813304905
393,-207,0.1500423436928801
394,-206,0.15407011903051052
962,362,0.1541998503831479
826,226,0.15451669277816577
429,-171,0.15470994882166006
430,-170,0.15547299392769628
966,366,0.15627471010072386
415,-185,0.15835327637902433
871,271,0.1587580374843528
641,41,0.1589748558852539
437,-163,0.16006762564753713
416,-184,0.1607849635368412
431,-169,0.16228872409926387
432,-168,0.1640487464161909
870,270,0.16439036910849372
644,44,0.16461765606281395
634,34,0.1651519297877077
829,229,0.16583373236403945
435,-165,0.16588949467414738
640,40,0.1663817201525991
643,43,0.16664041389533224
872,272,0.16803989093484334
638,38,0.1680913126757752
639,39,0.1685020155601331
417,-183,0.169126888727752
952,352,0.1693481792753358
297,-303,0.1696340130725577
418,-182,0.16968878356722925
637,37,0.17062399820682578
436,-164,0.1707047145704665
433,-167,0.17078363518112294
642,42,0.1713869810664917
428,-172,0.1722618242221198
434,-166,0.1734115435269591
944,344,0.17373350975933122
631,31,0.17390210918015644
233,-367,0.17402448695247424
636,36,0.17468996585512034
414,-186,0.17577634164831674
413,-187,0.1757968543204652
942,342,0.17650355718883956
953,353,0.17885763168076
831,231,0.18121380378801563
837,237,0.18147806583117787
420,-180,0.18165426153202271
419,-181,0.18228872099764218
869,269,0.1826324666408893
635,35,0.18319780317102496
630,30,0.18332765505586535
598,-2,0.18534356073324437
411,-189,0.18539323315029127
412,-188,0.18663431635087466
830,230,0.18671594972051828
427,-173,0.1872105460781701
615,15,0.18829763528142995
629,29,0.1899605771740474
874,274,0.19010377337334344
868,268,0.1902522057500344
614,14,0.19057779734417205
395,-205,0.19134378810203526
421,-179,0.19140193028958802
613,13,0.1916466579591648
298,-302,0.19509150024618446
851,251,0.1960898085775826
628,28,0.1967439308762957
410,-190,0.19696279822686882
